TSTAMP,EstX,EstY,EstVX,EstVY
2.4497666666666666,[755.73257984],[302.78521937],[40.446723],[61.91843648]
2.488651851851852,[795.47185704],[368.85456672],[39.70037939],[73.3815314]
2.527537037037037,[826.66805106],[446.83908185],[33.63317763],[84.82163683]
2.566422222222222,[866.21030549],[535.25487251],[36.14969443],[95.3435288]
2.6053074074074076,[897.53697237],[582.45290062],[32.39357149],[70.3847885]
2.6441925925925926,[927.54647694],[540.68112375],[29.67454398],[-5.48461977]
2.6830777777777777,[953.92963424],[473.97449237],[26.13354583],[-62.26192663]
2.721962962962963,[978.57707895],[417.71031251],[23.49575125],[-80.24911977]
2.760848148148148,[1002.72259391],[380.29409703],[22.26233363],[-70.09473971]
2.799733333333333,[1026.39300511],[364.26751105],[21.80028118],[-44.42975852]
2.8386185185185187,[1048.69028379],[364.26431535],[21.0617056],[-16.70369736]
2.8775037037037037,[1070.59276076],[376.01983095],[20.73292164],[6.56025495]
2.916388888888889,[1092.86641986],[397.77023096],[21.08244044],[24.32684046]
2.955274074074074,[1113.93459073],[429.72243668],[20.66548115],[38.27328948]
2.994159259259259,[1135.97436976],[472.1038061],[21.22385141],[49.96753752]
3.0330444444444447,[1154.12332891],[524.00222917],[19.01042167],[59.82038157]
3.0719296296296297,[1164.87126282],[562.99436455],[12.89758751],[53.59381032]
3.1108148148148147,[1174.43801348],[535.50859208],[9.03582526],[2.75686032]
3.1497,[1181.47092719],[490.84619205],[5.7805828],[-36.84310058]
